,molec_id,local_iso_id,elower,nu,nu_err,nu_vary,nu_1,nu_1_err,nu_1_vary,nu_2,nu_2_err,nu_2_vary,nu_3,nu_3_err,nu_3_vary,nu_4,nu_4_err,nu_4_vary,sw,sw_err,sw_vary,sw_scale_factor,sw_1,sw_1_err,sw_1_vary,sw_2,sw_2_err,sw_2_vary,sw_3,sw_3_err,sw_3_vary,sw_4,sw_4_err,sw_4_vary,gamma0_air,gamma0_air_err,gamma0_air_vary,n_gamma0_air,delta0_air,delta0_air_err,delta0_air_vary,n_delta0_air,nuVC_air,nuVC_air_err,nuVC_air_vary,n_nuVC_air,SD_gamma_air,SD_gamma_air_err,SD_gamma_air_vary,n_gamma2_air,SD_delta_air,SD_delta_air_err,SD_delta_air_vary,n_delta2_air,eta_air,eta_air_err,eta_air_vary,y_air_296,y_air_296_err,y_air_296_vary
0,7,1,2701.49,13154.09,0,False,13154.09,0.0,False,13154.09,0.0,False,13154.09,0.0,False,13154.09,0.0,False,0.00013700000000000005,0,False,1.0000000000000001e-24,0.00013700000000000005,0.0,False,0.00013700000000000005,0.0,False,0.00013700000000000005,0.0,False,0.00013700000000000005,0.0,False,0.02,0.0,False,0.63,-0.01,0,False,5e-05,0,0,False,1,0.1,0.0,False,0.63,0,0,False,0,0,0,False,0,0,False
1,7,1,345.85,13154.18,0,False,13154.18,0.0,False,13154.18,0.0,False,13154.18,0.0,False,13154.18,0.0,False,4.369,0,False,1.0000000000000001e-24,4.369,0.0,False,4.369,0.0,False,4.369,0.0,False,4.369,0.0,False,0.04,0.0,False,0.8,-0.007977,0,False,2.5e-05,0,0,False,1,0.1,0.0,False,0.8,0,0,False,0,0,0,False,0,0,False
2,7,3,336.4128,13154.296240000001,0,False,13154.296240000001,0.0,False,13154.296240000001,0.0,False,13154.296240000001,0.0,False,13154.296240000001,0.0,False,0.00176,0,False,1.0000000000000001e-24,0.00176,0.0,False,0.00176,0.0,False,0.00176,0.0,False,0.00176,0.0,False,0.0446,0.0,False,0.65,-0.0073,0,False,0.0,0,0,False,1,0.109090145,0.0,False,0.65,0,0,False,0,0,0,False,0,0,False
3,7,2,327.4452,13154.41367,0,False,13154.41367,0.0,False,13154.41367,0.0,False,13154.41367,0.0,False,13154.41367,0.0,False,0.008850000000000002,0,False,1.0000000000000001e-24,0.008850000000000002,0.0,False,0.008850000000000002,0.0,False,0.008850000000000002,0.0,False,0.008850000000000002,0.0,False,0.0446,0.0,False,0.65,-0.0073,0,False,0.0,0,0,False,1,0.107357514,0.0,False,0.65,0,0,False,0,0,0,False,0,0,False
4,7,1,2462.41,13154.64,0,False,13154.64,0.0,False,13154.64,0.0,False,13154.64,0.0,False,13154.64,0.0,False,0.0004052,0,False,1.0000000000000001e-24,0.0004052,0.0,False,0.0004052,0.0,False,0.0004052,0.0,False,0.0004052,0.0,False,0.02,0.0,False,0.63,-0.0105,0,False,5e-05,0,0,False,1,0.1,0.0,False,0.63,0,0,False,0,0,0,False,0,0,False
5,7,3,292.5252,13155.05735,0,False,13155.05735,0.0,False,13155.05735,0.0,False,13155.05735,0.0,False,13155.05735,0.0,False,0.0022199999999999998,0,False,1.0000000000000001e-24,0.0022199999999999998,0.0,False,0.0022199999999999998,0.0,False,0.0022199999999999998,0.0,False,0.0022199999999999998,0.0,False,0.0453,0.0,False,0.66,-0.0074,0,False,0.0,0,0,False,1,0.105973284,0.0,False,0.66,0,0,False,0,0,0,False,0,0,False
6,7,2,284.6808,13155.20717,0,False,13155.20717,0.0,False,13155.20717,0.0,False,13155.20717,0.0,False,13155.20717,0.0,False,0.0111,0,False,1.0000000000000001e-24,0.0111,0.0,False,0.0111,0.0,False,0.0111,0.0,False,0.0111,0.0,False,0.0453,0.0,False,0.66,-0.0074,0,False,0.0,0,0,False,1,0.104290156,0.0,False,0.66,0,0,False,0,0,0,False,0,0,False
7,7,3,380.9887,13155.5309,0,False,13155.5309,0.0,False,13155.5309,0.0,False,13155.5309,0.0,False,13155.5309,0.0,False,0.00151,0,False,1.0000000000000001e-24,0.00151,0.0,False,0.00151,0.0,False,0.00151,0.0,False,0.00151,0.0,False,0.0439,0.0,False,0.65,-0.0073,0,False,0.0,0,0,False,1,0.109090145,0.0,False,0.65,0,0,False,0,0,0,False,0,0,False
8,7,2,370.8258,13155.61648,0,False,13155.61648,0.0,False,13155.61648,0.0,False,13155.61648,0.0,False,13155.61648,0.0,False,0.007640000000000002,0,False,1.0000000000000001e-24,0.007640000000000002,0.0,False,0.007640000000000002,0.0,False,0.007640000000000002,0.0,False,0.007640000000000002,0.0,False,0.0439,0.0,False,0.65,-0.0073,0,False,0.0,0,0,False,1,0.107357514,0.0,False,0.65,0,0,False,0,0,0,False,0,0,False
9,7,1,343.9694,13156.05888,0,False,13156.05888,0.0,False,13156.05888,0.0,False,13156.05888,0.0,False,13156.05888,0.0,False,5.880000000000001e-05,0,False,1.0000000000000001e-24,5.880000000000001e-05,0.0,False,5.880000000000001e-05,0.0,False,5.880000000000001e-05,0.0,False,5.880000000000001e-05,0.0,False,0.0458,0.0,False,0.67,-0.0074,0,False,0.0,0,0,False,1,0.10455081599999999,0.0,False,0.67,0,0,False,0,0,0,False,0,0,False
